b'Name',b'Creator',b'First public release',b'Latest stable version',b'Latest Release Date',b'Programming language',b'Cost (US$)',b'Software license',b'Open source'
b'Acme',b'Rob Pike',b'1993',b'Plan 9 and Inferno',b'',b'C',b'Free',b'LPL (OSI approved)',b'Yes'
b'AkelPad',"b'Alexey Kuznetsov, Alexander Shengalts'",b'2003',b'4.9.8',b'2016-07-18',b'C',b'Free',b'BSD',b'Yes'
b'Alphatk',b'Vince Darley',b'1999',b'8.3.3',b'2004-12-10',b'',b'$40',"b'Proprietary, with BSD components'",b'No'
b'Aquamacs',b'David Reitter',b'2005',b'3.3',b'2016-09-20',"b'C, Emacs Lisp'",b'Free',b'GPL',b'Yes'
b'Atom',b'GitHub',b'2014',b'1.16.0',b'2017-04-12',"b'HTML, CSS, JavaScript, C++'",b'Free',b'MIT',b'Yes'
b'BBEdit',b'Rich Siegel',b'1992-04',b'11.6.4',b'2017-02-24',"b'Objective-C, Objective-C++'",b'$49.99',b'Proprietary',b'No'
b'Bluefish',b'Bluefish Development Team',b'1999',b'2.2.10',b'2017-01-27',b'C',b'Free',b'GPL',b'Yes'
b'Brackets',b'Adobe Systems',b'2012',b'1.8',b'2016-11-10',"b'HTML, CSS, JavaScript, C++'",b'Free',b'MIT',b'Yes'
b'Coda',b'Panic',b'2007',b'2.6',b'2016-12-05',b'Objective-C',b'$99',b'Proprietary',b'No'
b'ConTEXT',b'ConTEXT Project Ltd',b'1999',b'0.98.6',b'2009-08-14',b'Object Pascal (Delphi)',b'Free',b'BSD',b'Yes'
b'Crimson Editor',"b'Ingyu Kang, Emerald Editor Team'",b'1999',b'3.72',b'2008-05-14',b'C++',b'Free',b'GPL',b'Yes'
b'Diakonos',b'Pistos',b'2004',b'0.9.4',b'2015-01-08',b'Ruby',b'Free',b'MIT',b'Yes'
b'E Text Editor',b'Alexander Stigsen',b'2005',b'2.0.2',b'2010-11-30',b'',b'$46.95',"b'Proprietary, with BSD components'",b'No'
b'ed',b'Ken Thompson',b'1970',b'unchanged from original',b'',b'C',b'Free',b'?',b'Yes'
b'EditPlus',b'Sangil Kim',b'1998',b'4.2',b'2017-01-05',b'C++',b'$35',b'Shareware',b'No'
b'Editra',b'Cody Precord',b'2007',b'0.7.20',b'2013-01-05',b'Python',b'Free',b'wxWindows license',b'Yes'
b'EmEditor',"b'Emurasoft, Inc.'",b'1997',b'16.5.0',b'2017-03-02',b'',b'$39.99 1-user',b'Shareware',b'No'
b'epsilon',b'Lugaru Software',b'1984',b'13.06',b'2016-12-06',b'C',b'$250',b'Proprietary',b'No'
b'gedit',b'GNU Project',b'2000',b'3.22.0',b'2016-11-23',b'C',b'Free',b'GPL',b'Yes'
b'Geany',b'Enrico Tr\xc3\xb6ger',b'2005',b'1.29',b'2016-11-14',"b'C, GTK2'",b'Free',b'GPL',b'Yes'
b'GNU Emacs',b'Richard Stallman',b'1984',b'25.2',b'2017-04-20',"b'C, Emacs Lisp'",b'Free',b'GPL',b'Yes'
b'Gobby',b'0x539 dev group',b'2005',b'0.5.0',b'2014-08-24',b'C++',b'Free',b'GPL',b'Yes'
b'JED',b'John E. Davis',b'1992',b'0.99-19',b'2009-12-13',b'C',b'Free',b'GPL',b'Yes'
b'jEdit',b'Slava Pestov',b'1998 (?)',b'5.3.0',b'2015-10-20',b'Java',b'Free',b'GPL',b'Yes'
b'JOE',b'Joseph Allen',b'1988',b'4.4',b'2017-01-22',b'C',b'Free',b'GPL',b'Yes'
